Source Name	ERS	Type	MaterialType	ExtractName	AssayName	ERX	ERR
2i_3_1	ERS1032000	2i	single_cell	2i_3_1	Teichmann_2i_3_1_	ERX1283427	ERR1211176
2i_3_2	ERS1032001	2i	single_cell	2i_3_2	Teichmann_2i_3_2_	ERX1283428	ERR1211177
2i_3_3	ERS1032002	2i	single_cell	2i_3_3	Teichmann_2i_3_3_	ERX1283429	ERR1211178
2i_3_4	ERS1032003	2i	single_cell	2i_3_4	Teichmann_2i_3_4_	ERX1283430	ERR1211179
2i_3_5	ERS1032004	2i	single_cell	2i_3_5	Teichmann_2i_3_5_	ERX1283431	ERR1211180
2i_3_6	ERS1032005	2i	single_cell	2i_3_6	Teichmann_2i_3_6_	ERX1283432	ERR1211181
2i_3_7	ERS1032006	2i	single_cell	2i_3_7	Teichmann_2i_3_7_	ERX1283433	ERR1211182
2i_3_8	ERS1032007	2i	single_cell	2i_3_8	Teichmann_2i_3_8_	ERX1283434	ERR1211183
2i_3_9	ERS1032008	2i	single_cell	2i_3_9	Teichmann_2i_3_9_	ERX1283435	ERR1211184
2i_3_10	ERS1032009	2i	single_cell	2i_3_10	Teichmann_2i_3_10_	ERX1283436	ERR1211185
2i_3_11	ERS1032010	2i	single_cell	2i_3_11	Teichmann_2i_3_11_	ERX1283437	ERR1211186
2i_3_12	ERS1032011	2i	single_cell	2i_3_12	Teichmann_2i_3_12_	ERX1283438	ERR1211187
2i_3_13	ERS1032012	2i	single_cell	2i_3_13	Teichmann_2i_3_13_	ERX1283439	ERR1211188
2i_3_14	ERS1032013	2i	single_cell	2i_3_14	Teichmann_2i_3_14_	ERX1283440	ERR1211189
2i_3_15	ERS1032014	2i	single_cell	2i_3_15	Teichmann_2i_3_15_	ERX1283441	ERR1211190
2i_3_16	ERS1032015	2i	single_cell	2i_3_16	Teichmann_2i_3_16_	ERX1283442	ERR1211191
2i_3_17	ERS1032016	2i	single_cell	2i_3_17	Teichmann_2i_3_17_	ERX1283443	ERR1211192
2i_3_18	ERS1032017	2i	single_cell	2i_3_18	Teichmann_2i_3_18_	ERX1283444	ERR1211193
2i_3_19	ERS1032018	2i	single_cell	2i_3_19	Teichmann_2i_3_19_	ERX1283445	ERR1211194
2i_3_20	ERS1032019	2i	single_cell	2i_3_20	Teichmann_2i_3_20_	ERX1283446	ERR1211195
2i_3_21	ERS1032020	2i	single_cell	2i_3_21	Teichmann_2i_3_21_	ERX1283447	ERR1211196
2i_3_22	ERS1032021	2i	single_cell	2i_3_22	Teichmann_2i_3_22_	ERX1283448	ERR1211197
2i_3_23	ERS1032022	2i	single_cell	2i_3_23	Teichmann_2i_3_23_	ERX1283449	ERR1211198
2i_3_24	ERS1032023	2i	single_cell	2i_3_24	Teichmann_2i_3_24_	ERX1283450	ERR1211199
