gene1	gene2	rho	pvalue	FDR
Gm13043	ENSMUSG00000097046	1	0	0
Pramel20	ENSMUSG00000097856	1	0	0
Alyreffm17	Alyreffm15	1	0	0
Alyreffm17	Alyreffm16	0.947181927740584	1.12061804271187e-242	4.02413939137832e-239
Alyreffm15	Alyreffm16	0.947181927740584	1.12061804271187e-242	4.02413939137832e-239
Alyreffm11	Alyreffm16	0.937964633166144	3.64788836989326e-226	1.09163059469056e-222
Alyreffm11	Alyreffm17	0.886796297405235	2.31202716622727e-165	5.18905597120132e-162
Alyreffm11	Alyreffm15	0.886796297405235	2.31202716622727e-165	5.18905597120132e-162
Or5b106	ENSMUSG00000096528	0.82424680000251	2.23496832331602e-122	4.45876180501547e-119
ENSMUSG00000096528	ENSMUSG00000100131	0.724256729920586	1.18243449157202e-80	2.12306112961756e-77
Tagln	Car4	0.718319028726156	9.21583854757695e-79	1.50427619201586e-75
Gbp2b	Gbp2	0.703767885644374	2.51470886476755e-74	3.76263313890844e-71
Or5b106	ENSMUSG00000100131	0.702598256546908	5.5628953110516e-74	7.68321425461011e-71
Tagln	Cldn6	0.696197738185735	4.00601778742733e-72	5.13771781237554e-69
Cldn6	Car4	0.693893470562988	1.81739356321456e-71	2.17542009516783e-68
Bnip3	Ldha	0.672690353995728	1.05493410373454e-65	1.1838338645346e-62
Zscan4a	Zscan4f	0.659448748640505	2.42803514648443e-62	2.56443359147811e-59
Krt18	Cldn6	0.653484925833245	6.98764940075314e-61	6.97018027725126e-58
Zscan4.ps2	Zscan4.ps3	0.649374183630195	6.77576850356284e-60	6.40310123586688e-57
Cldn6	Dnmt3a	0.641044411572521	6.08158986027128e-58	5.45974729705855e-55
Zscan4a	Zscan4.ps3	0.639689976574735	1.24705036343813e-57	1.0662280607396e-54
Cldn6	Ldha	0.639283874990406	1.54556029106771e-57	1.26138795573276e-54
Tagln	Tpm1	0.628201130042758	4.77998556632327e-55	3.73150612362323e-52
Car4	Cnn1	0.619269258785217	4.11452870160699e-53	3.07818178488973e-50
Cgn	Cldn6	0.61693675462094	1.28645567506078e-52	9.23932465828652e-50
Tpm1	Car4	0.616054484259483	1.9750431875073e-52	1.36391924737283e-49
Eif1ad8	Eif1ad10	0.610765385649177	2.50870463916594e-51	1.66828858504535e-48
Krt18	Car4	0.609381772394299	4.8394159403198e-51	3.10327547173007e-48
