gene1	gene2	rho	p.value	FDR
Gm6763	Gm8764	0.999999999999997	0	0
Pramel20	NA..4247	0.999999999999996	0	0
Msantd5f5	Msantd5f1	0.887342977524413	6.504055636439e-173	3.89246049655419e-169
Kpna2	Kpna2rt	0.832059661340954	4.0206863779092e-132	1.80468508072455e-128
Msantd5f9	Msantd5f7	0.792821347582117	2.50697574401084e-111	9.00204850159414e-108
Obox4.ps28	Obox4.ps27	0.73117893497912	2.02566567851632e-86	6.06146693201368e-83
Trpm1	Gpx1	0.717381151209538	8.98400716417776e-82	2.30426949465211e-78
Asns	Gpx1	0.714171278221437	9.88185511493528e-81	2.21773533416935e-77
Spp1	Gpx1	0.710386771368922	1.6006620070894e-79	3.19314285280924e-76
Msantd5f1	Msantd5f3	0.709148315304149	3.94329019892689e-79	7.07978322315334e-76
Msantd5f5	Msantd5f3	0.708781845595821	5.14433589590409e-79	8.39649151591473e-76
Spp1	Asns	0.708550547054284	6.08298079990092e-79	9.1011531067851e-76
Ephx2	Trpm1	0.706895947779426	2.00781424535086e-78	2.77294592007918e-75
LOC108168683	Pramel40	0.704518036862346	1.10082186475578e-77	1.41172541141609e-74
Dnmt3l	Utf1	0.701532890822169	9.09968432493059e-77	1.08917154913203e-73
Calcoco2	Lin28a	-0.699756356658924	3.15886022041041e-76	3.54463602482803e-73
Tdh	Gpx1	0.694318262135187	1.34742658791986e-74	1.42304099761842e-71
Asns	Bcat1	0.692121845912518	5.99182771848321e-74	5.97651526986931e-71
Tbx3	Tfcp2l1	0.687906330627264	1.01200082002047e-72	9.56287511718293e-70
Car4	Tagln	0.686988537280371	1.86071682024269e-72	1.67036548953187e-69
Lpar1	Utf1	-0.686116330720513	3.31232904444023e-72	2.8318836030419e-69
Tfcp2l1	Gpx1	0.68438078180595	1.03724089259808e-71	8.4648286298663e-69
Car4	Cldn6	0.683215745488231	2.22190651662174e-71	1.73443954780116e-68
Zscan4f	Zscan4a	0.680346191842388	1.42908702152028e-70	1.0690761826823e-67
Tdh	Asns	0.677844428117967	7.1165907954918e-70	5.11085084569039e-67
NA..1246	LOC108168683	0.676332605918396	1.86316944677026e-69	1.2865901633582e-66
Utf1	Lin28a	0.676043782001039	2.23779526032616e-69	1.48805096681096e-66
Cldn6	Tagln	0.672283646999374	2.38485314104974e-68	1.52920190337168e-65
Ldha	Bnip3	0.672028128996339	2.79733188766694e-68	1.73183781762663e-65
Bcat1	Gpx1	0.671777013413219	3.27163595598499e-68	1.95796506512515e-65
Msantd5f5	LOC108168683	0.668189387911268	3.01504948863216e-67	1.74619995222264e-64
Eif1ad11	Eif1ad16	0.667003672493368	6.2389894376737e-67	3.5004630113748e-64
Cldn6	Tfcp2l1	-0.666486647194605	8.55796231063051e-67	4.65605016136546e-64
Tdh	Spp1	0.661656088643064	1.5905619770302e-65	8.39910286341183e-63
Tfcp2l1	Bcat1	0.66154933905369	1.69563114506754e-65	8.69810330815505e-63
Dnmt3l	Ldha	0.659714474160711	5.07063419919588e-65	2.52883795589897e-62
Tdh	Bcat1	0.659347782113441	6.3057132400868e-65	3.05980474358158e-62
Ephx2	Gpx1	0.658258762912641	1.20257436444779e-64	5.68184740507778e-62
Tdh	Tfcp2l1	0.6577974313078	1.57955115514005e-64	7.27160549727808e-62
Gbp2	Gbp2b	0.656852971496725	2.75626851268153e-64	1.2371511219171e-61
Asns	Nupr1	0.656306676822107	3.7999577763988e-64	1.66401077847473e-61
Tdh	Ephx2	0.655598602082002	5.7557638969127e-64	2.46045202393263e-61
Asns	Trpm1	0.654620512845396	1.0195122086116e-63	4.25681911474714e-61
Tbx3	Cldn6	-0.651512816012393	6.18285840974963e-63	2.52288727019647e-60
Kpna2	Ccnb1	0.650715349788757	9.78544982163693e-63	3.90417702439266e-60
Dnmt3l	Gpx1	-0.65056680273579	1.06575117102322e-62	4.15967315751105e-60
Tfcp2l1	Trpm1	0.64911874106481	2.44332900998809e-62	9.33351681815449e-60
Spp1	Bcat1	0.648722906803356	3.06292723382852e-62	1.14566240741994e-59
Zc3hav1	Gpx1	0.647784158204014	5.22797205090818e-62	1.91557163677562e-59
Tfcp2l1	Zc3hav1	0.647128268741298	7.58716483293057e-62	2.72439914820871e-59
Tfcp2l1	Sfrp1	0.647060422709755	7.88475147103317e-62	2.77574172374371e-59
Cldn6	Skil	0.646965568455329	8.3203327145436e-62	2.87275487609453e-59
Tfcp2l1	Spp1	0.646833617768854	8.96628446985238e-62	3.03737115795716e-59
Tdh	Cldn6	-0.645842450883018	1.57041988505861e-61	5.22135529932265e-59
Spp1	Trpm1	0.644156273945643	4.05529173241943e-61	1.32379468661561e-58
Cldn6	Trpm1	-0.643697139644968	5.24516253206242e-61	1.68163657322587e-58
Cldn6	Spp1	-0.643468402977101	5.96147524595989e-61	1.87776011519235e-58
Dnmt3l	Trpm1	-0.642622241442603	9.56317894601811e-61	2.96029853097947e-58
Tbx3	Bcat1	0.640794571657568	2.64073998492318e-60	8.03590604903574e-58
Car4	Tfcp2l1	-0.640517411159828	3.07863996121306e-60	9.21231697726989e-58
Cldn6	Gpx1	-0.639917909271387	4.28798109045284e-60	1.26207233603263e-57
Spp1	Jam2	0.639811222085968	4.54806439269547e-60	1.31703142107185e-57
Trpm1	Ldha	-0.63968267965514	4.88231460319537e-60	1.39138216485349e-57
Dnmt3l	Cldn6	0.638685268376578	8.45492421691299e-60	2.37187045922587e-57
Tbx3	Trpm1	0.635908900829259	3.85767143920846e-59	1.06554820030075e-56
Calcoco2	Utf1	-0.635758936065409	4.18543216476968e-59	1.13856438009507e-56
Cldn6	Jam2	-0.635424451207699	5.0194981647285e-59	1.34507567238113e-56
Dnmt3l	Lin28a	0.634694356498616	7.45734941323678e-59	1.96895957890078e-56
Kit	Utf1	-0.63408601246524	1.03630025226326e-58	2.69648329407746e-56
Tdh	Ldhb	0.633570532743595	1.36874447956251e-58	3.5106340551522e-56
Spp1	Nupr1	0.633277291161182	1.60310036823244e-58	4.05381183256976e-56
Cldn6	Utf1	0.63297166732929	1.88981190206023e-58	4.71245595688742e-56
Zscan4.ps3	Zscan4.ps2	0.631750067907167	3.64116490671645e-58	8.95527051166948e-56
Ly75	Trpm1	0.631043512546062	5.31367520060223e-58	1.28921249394071e-55
Tdh	Trpm1	0.630920533455695	5.67444527235104e-58	1.35838653893054e-55
Trpm1	Renbp	0.630686332201809	6.43009407677051e-58	1.51902511913602e-55
Renbp	Gpx1	0.630336659672389	7.7480747679899e-58	1.80660953746092e-55
Zscan4.ps3	Zscan4a	0.629530409193786	1.18989599192099e-57	2.73889649217302e-55
NA..1246	Zscan4e	0.628260543673478	2.3326432769239e-57	5.30130093593565e-55
Cldn6	Ldha	0.628115570959287	2.51846963688779e-57	5.65207548258543e-55
Skil	Trpm1	-0.625807256789587	8.48795901039318e-57	1.88139279101974e-54
Klf4	Spp1	0.625309976488349	1.10128272530134e-56	2.41127195732441e-54
NA..1246	Obox4.ps28	0.624740691738278	1.4829255950178e-56	3.20776459433127e-54
Skil	Gpx1	-0.624622674773897	1.57715469492417e-56	3.37098040388912e-54
Kit	Tfcp2l1	0.624471867695657	1.70626383557425e-56	3.60403069457649e-54
Nanog	Spp1	0.623828895881719	2.38522602134533e-56	4.9795753473528e-54
Dnmt3l	Bnip3	0.623738345164862	2.50029306716806e-56	5.15980019861326e-54
Car4	Tbx3	-0.622768342616753	4.13768402246354e-56	8.441815788558e-54
Cldn6	Zc3hav1	-0.620478494992287	1.34943478822661e-55	2.69557597358235e-53
Tbx3	Gpx1	0.62047589300136	1.35124115864103e-55	2.69557597358235e-53
Dnmt3l	Skil	0.620090275351213	1.64729681233441e-55	3.25006230424747e-53
Ly75	Gpx1	0.618925322119631	2.99205690324029e-55	5.83906409138872e-53
Asns	Renbp	0.618614551181613	3.5069651084393e-55	6.77032812439991e-53
Car4	Trpm1	-0.618277771047917	4.16463981585756e-55	7.95446204828793e-53
Car4	Tdh	-0.618143485757467	4.45980640727842e-55	8.42856465645018e-53
Skil	Ldha	0.617423786766799	6.43360356540821e-55	1.20321790013895e-52
Emb	Utf1	0.617344681966893	6.697622161671e-55	1.2396815287695e-52
Ephx2	Ldhb	0.61714148485591	7.42615148721926e-55	1.36050126328097e-52
Tdh	Ly75	0.616595518705085	9.79692442254983e-55	1.7767068796208e-52
