	mean	total	tech	bio	p.value	FDR
Rps6.ps4	5.62128705954966	20.6841529775742	4.49079284553989	16.1933601320344	6.56587444238981e-16	1.51233974656379e-12
NA..4693	3.11647625929054	20.024119748903	6.15921979409638	13.8648999548066	3.01797180352903e-07	0.000160416808941428
Trh	4.8297300475203	17.827574589949	5.50353751659563	12.3240370733534	3.45395024839682e-07	0.000174635094266503
NA..5347	4.95022861502047	17.6425122243764	5.36213306281684	12.2803791615596	1.91932043018595e-07	0.000120568219750772
NA..279	5.0560617406387	16.7471152961592	5.23295791976082	11.5141573763984	5.3711236037921e-07	0.000247429760681356
Lin28a	5.30836076257048	16.4072770853744	4.9105123135048	11.4967647718696	1.05170521310788e-07	6.81307783366446e-05
Gm10259	4.73802960085711	16.6813962864246	5.60656161492276	11.0748346715018	5.96656900129069e-06	0.00179256486082255
Atp6.ps	5.12419288430018	16.0716187223342	5.14777208876089	10.9238466335733	1.27529489953238e-06	0.000508401216678966
NA..5116	10.5349803878279	11.450621817581	0.684745913236534	10.7658759043445	1.94548331062327e-266	4.03298690292203e-262
Calcoco2	4.74996547450558	15.830967613439	5.59340173292263	10.2375658805164	2.48230249732237e-05	0.00571757008549919
Lpar1	5.54063184294426	14.8243025325329	4.60036858725345	10.2239339452795	4.1853055516117e-07	0.000197184963829342
Dnmt3l	4.07318638633599	15.9426307124046	6.17895274013409	9.76367797227055	0.000230209563979883	0.0361533656159316
Gm12918	8.01283749867661	10.51010601208	1.71711984832399	8.79298616375599	3.64771385731363e-30	1.26028513770186e-26
Cldn6	3.06601873242811	14.7243948109275	6.12514502042598	8.59924979050153	0.000928679697879376	0.113579619395489
Ephx2	5.58439084560822	13.1286012935299	4.54090847295505	8.58769282057489	1.38091184634152e-05	0.00356574160627433
Klhl13	6.78062757841512	11.4349870687221	2.95210814765291	8.4828789210692	9.46352021790811e-11	1.40127695798025e-07
Bnip3	6.7840924868596	11.3469727420892	2.94789978851649	8.39907295357274	1.34316681620818e-10	1.8562565399997e-07
Rpl10a.ps1	5.21407737533566	12.7572991164079	5.03298058410679	7.72431853230114	0.000334323200927454	0.0505877368994608
Trpm1	4.74258309544008	13.0629489530117	5.60155048102823	7.46139847198348	0.00157477285664041	0.164873946051291
Tcl1	7.43149034177785	9.59521088898884	2.2321068910515	7.36310399793734	1.31189114394109e-13	2.71955034138987e-10
NA..439	7.26603352401049	9.59375588379102	2.40185069275688	7.19190519103414	1.59384314628789e-11	3.00366985659527e-08
Gjb3	6.83918151145977	9.97488751482189	2.88171599803383	7.09317151678806	2.42974637905039e-08	2.01474569750858e-05
